Currency,Date,Close,24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-04-01T04:00:00.000Z,6926.875,6970.36375,7213.50375,6796.82125
BTC,2018-04-02T04:00:00.000Z,6986.835,6926.875,7023.0875,6443.20125
BTC,2018-04-03T04:00:00.000Z,7182.12,6986.835,7194.8425,6854.62375
BTC,2018-04-04T04:00:00.000Z,7295.89,7182.12,7506.6775,7182.12
BTC,2018-04-05T04:00:00.000Z,6769.48375,7295.89,7385.70875,6583.85375
BTC,2018-04-06T04:00:00.000Z,6766.5925,6769.48375,6918.6975,6630.9025
BTC,2018-04-07T04:00:00.000Z,6854.92125,6766.5925,6892.49375,6513.1025
BTC,2018-04-08T04:00:00.000Z,6964.4325,6854.92125,7050.49625,6783.28625
BTC,2018-04-09T04:00:00.000Z,7125.53875,6964.4325,7159.98,6897.75
BTC,2018-04-10T04:00:00.000Z,6789.2675,7125.53875,7170.76,6616.57125
BTC,2018-04-11T04:00:00.000Z,6824.49375,6789.2675,6878.08375,6659.51
BTC,2018-04-12T04:00:00.000Z,6941.63875,6824.49375,6964.0825,6807.4375
BTC,2018-04-13T04:00:00.000Z,7823.55875,6941.63875,8055.20125,6766.37
BTC,2018-04-14T04:00:00.000Z,8040.88125,7823.55875,8218.70375,7767.79875
BTC,2018-04-15T04:00:00.000Z,8083.57375,8040.88125,8174.69875,7882.1425
BTC,2018-04-16T04:00:00.000Z,8160.4125,8083.57375,8407.7175,8060.46875
BTC,2018-04-17T04:00:00.000Z,8030.57,8160.4125,8162.8075,7909.14125
BTC,2018-04-18T04:00:00.000Z,7937.61,8030.57,8151.0975,7834.4
BTC,2018-04-19T04:00:00.000Z,8188.71875,7937.61,8253.88625,7886.1775
BTC,2018-04-20T04:00:00.000Z,8333.81374,8188.71875,8380.25124,8104.87875
BTC,2018-04-21T04:00:00.000Z,8866.67,8333.81374,8930.43,8221.25375
BTC,2018-04-22T04:00:00.000Z,8830.05875,8866.67,9021.07,8615.67625
BTC,2018-04-23T04:00:00.000Z,8868.16124,8830.05875,9009.82,8761.88375
BTC,2018-04-24T04:00:00.000Z,9191.82,8868.16124,9220.9675,8818.75875
BTC,2018-04-25T04:00:00.000Z,9373.3025,9191.82,9746.81749,9191.82
BTC,2018-04-26T04:00:00.000Z,8807.515,9373.3025,9514.41375,8662.285
BTC,2018-04-27T04:00:00.000Z,9153.64125,8807.515,9303.01874,8660.8675
BTC,2018-04-28T04:00:00.000Z,9144.38375,9153.64125,9372.38375,8873.65166
BTC,2018-04-29T04:00:00.000Z,9444.1425,9144.38375,9536.64,9085.22374
BTC,2018-04-30T04:00:00.000Z,9268.7175,9444.1425,9472.4975,9182.6775
BTC,2018-05-01T04:00:00.000Z,8949.87624,9268.7175,9344.89125,8883.5875
BTC,2018-05-02T04:00:00.000Z,9029.47875,8949.87624,9134.9525,8842.03249
BTC,2018-05-03T04:00:00.000Z,9228.8525,9029.47875,9262.32625,9025.18625
BTC,2018-05-04T04:00:00.000Z,9572.69875,9228.8525,9790.94249,9162.18625
BTC,2018-05-05T04:00:00.000Z,9817.5975,9572.69875,9855.62875,9572.69875
BTC,2018-05-06T04:00:00.000Z,9845.54375,9817.5975,9954.95375,9700.90625
BTC,2018-05-07T04:00:00.000Z,9326.76125,9845.54375,9869.65,9229.74875
